MSOA21CD,MSOA21NM,MEDIAN_AI,MIN_AI,MAX_AI,MEAN_PTAL_,Shape_Leng,Shape_Area,mean_AI
E02000001,City of London 001,85.305571913400001,31.731444493700000,155.527729612999991,6b,9614.398143070000515,3150420.339180000126362,86.638534597299994
E02000002,Barking and Dagenham 001,4.308735068400000,0.000000000000000,7.138544598560000,1b,8306.888229590000265,2161560.664390000049025,3.846675633740000
E02000003,Barking and Dagenham 002,5.884855770320000,0.000000000000000,16.312666055400001,2,9359.512341690000540,2141515.250039999838918,6.261674804640000
E02000004,Barking and Dagenham 003,2.876828412070000,0.000000000000000,12.663370359300000,1b,8475.840309310000521,2492946.096580000128597,3.423015665830000
E02000005,Barking and Dagenham 004,6.043355763050000,0.000000000000000,15.691395252400000,2,7321.657104099999742,1187954.163579999934882,6.669462515410000
E02000007,Barking and Dagenham 006,5.906825284950000,0.000000000000000,15.133638596500001,2,7070.107179689999612,1736002.899359999923036,6.311333400040000
E02000008,Barking and Dagenham 007,7.554210965860000,0.000000000000000,12.809558258799999,2,8798.591297729999496,1419989.374390000011772,7.273294439280000
E02000009,Barking and Dagenham 008,8.221305031449999,1.917594494270000,11.979007695300000,2,6241.125925160000406,961521.314612000016496,8.136794811870001
E02000010,Barking and Dagenham 009,7.615129719810000,2.093981556750000,15.222230443500001,2,7962.692169570000260,1121460.687069999985397,7.828972026600000
E02000011,Barking and Dagenham 010,7.754298408460000,0.000000000000000,14.320383911700000,2,7942.897896329999639,1594080.804340000031516,6.403845878520000
E02000012,Barking and Dagenham 011,8.582715384720000,0.000000000000000,23.566271758700001,2,6428.447612339999978,1300308.467560000019148,8.668288991810000
E02000013,Barking and Dagenham 012,8.358703701790001,1.948007634320000,14.750655620200000,2,8008.821144589999676,1304524.412089999997988,7.648909708600000
E02000014,Barking and Dagenham 013,11.532612115199999,0.000000000000000,21.359150454900000,3,7830.022750580000320,1193021.035410000011325,10.739536036800001
E02000015,Barking and Dagenham 014,5.069744458060000,0.000000000000000,14.695353450400001,2,6479.421983979999823,1361638.173429999966174,5.808394523900000
E02000016,Barking and Dagenham 015,30.367701683500002,0.000000000000000,49.248125098099997,6a,4935.404145020000215,912838.465105999959633,25.528768604000000
E02000017,Barking and Dagenham 016,25.528723727900001,2.836977462390000,42.639268989900003,5,5229.142792530000406,876569.082433999981731,24.000790310999999
E02000018,Barking and Dagenham 017,6.746492262550000,2.043636657010000,14.499437355000000,2,6654.492026810000425,1357709.079690000042319,6.807986993260000
E02000019,Barking and Dagenham 018,4.074914185760000,0.000000000000000,11.951861126200001,1b,14491.749459399999978,3299247.791530000045896,4.446716047600000
E02000020,Barking and Dagenham 019,5.530787734880000,0.000000000000000,33.533856551900001,2,18889.025559500001691,4356232.377100000157952,6.259088550800000
E02000021,Barking and Dagenham 020,3.590825246290000,0.000000000000000,15.345001513000000,1b,10787.086485600000742,3296887.670520000159740,3.818362476390000
E02000022,Barking and Dagenham 021,8.543075307860001,0.000000000000000,36.012640528900000,3,5491.577480320000177,797486.546106999972835,11.321563595800001
E02000023,Barking and Dagenham 022,5.739344420850000,0.000000000000000,11.138241366300001,2,9332.251896140000099,1745397.280299999983981,5.822724757250000
E02000024,Barnet 001,2.914180511320000,0.000000000000000,27.571017847499999,2,14797.824237599999833,3753626.431630000006407,6.271256848210000
E02000025,Barnet 002,2.846431629870000,0.000000000000000,24.188488374500000,2,9418.575035309999294,2401893.254679999779910,5.219947939680000
E02000026,Barnet 003,4.146358552770000,0.000000000000000,11.934401573500001,1b,10145.526142599999730,1465738.209439999889582,4.984718237850000
E02000027,Barnet 004,3.955226411480000,0.000000000000000,26.014810968700001,2,9816.234947319999264,1674264.849119999911636,5.807554215350000
E02000028,Barnet 005,9.791417612640000,3.437543346500000,22.799993591200000,3,6299.122642960000121,1055631.041250000009313,10.023586772200000
E02000029,Barnet 006,6.292941905550000,0.000000000000000,14.408818084600000,2,8396.100717380000788,1684554.862459999974817,6.737267907970000
E02000030,Barnet 007,1.876199419560000,0.000000000000000,16.958768211599999,1a,24917.186486200000218,14578600.607499999925494,1.652325616030000
E02000031,Barnet 008,8.528306591490001,2.439059856820000,20.706325868099999,2,10323.790255199999592,1939009.675449999980628,9.534706874779999
E02000032,Barnet 009,5.430776664950000,2.118691000230000,21.489511424000000,2,5923.222128759999578,1397967.949929999886081,6.658761671340000
E02000033,Barnet 010,5.070242008240000,0.000000000000000,25.967899851500000,2,7340.121039800000290,1775722.213230000110343,6.320817491970000
E02000034,Barnet 011,4.884402602070000,1.202540574760000,18.705019065999998,2,8792.708527889999459,1558174.736610000021756,5.035416617760000
E02000035,Barnet 012,8.411211852050000,0.000000000000000,18.316236469400000,2,9229.142817789999754,1297955.217859999975190,8.041243444190000
E02000036,Barnet 013,5.064310849050000,0.000000000000000,13.216283037600000,2,11238.916719700000613,1794596.811440000077710,5.159076226820000
E02000037,Barnet 014,1.823223929970000,0.000000000000000,25.660343836399999,1b,11388.016837999999552,4324652.530949999578297,2.642016295930000
E02000038,Barnet 015,8.304264832779999,0.000000000000000,24.522763960799999,2,7782.857363420000183,1762270.325789999915287,7.805156208380000
E02000039,Barnet 016,4.826276718850000,0.000000000000000,21.382277004300001,2,10317.302342099999805,2132014.777759999968112,7.300371219620000
E02000040,Barnet 017,2.442871515820000,0.000000000000000,11.231541007600001,1b,16980.447276999999303,5154876.597090000286698,2.778460139420000
E02000041,Barnet 018,15.955564682100000,2.256553114200000,39.712806116599999,4,6899.702820260000408,1349057.342720000073314,16.624276376400001
